ID,Num,USO,Num USO,NSE U/S,Updated Manual,A,B,C,D,E,C1,C2,C3,IL,IM,IP,QTY servicios,VOZ,Datos s/dom,Datos,Datos-fibra-telmex-inf,TV Cable,DISH,TVS,SKY,VETV,QTY Nom Neg,Line #,Nom Neg,,PRUEBA A/?-
1001,272,COMERCIAL,4,V,,,,,,,,1,,,,,1,5,,,,,,,,,1,3,SENASICA,,
1002,522,COMERCIAL,4,V,,,,,,,,1,,,,,1,7,,,,,,,,,0,0,,,
1003,276,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,15,FARMACIA BENAVIDES,,
1004,522,COMERCIAL,4,V,,,,,,,,1,,,,,1,3,,,,,,,,,1,11,SAT,,
1005,467,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,28,BAR,,
1006,467,,,V,,,,,1,,,,,,,,0,,,,,,,,,,0,0,,,
1007,622,COMERCIAL,4,V,,,,,,,,,1,,,,1,2,,,,,,,,,1,36,TAQUERIA,,
1008,620,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,35,BAR,,
1009,469,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,64,BAR,,
1010,471,COMERCIAL,4,V,,,,,,,,,1,,,,1,2,,,,,,,,,1,65,HOTEL,,
1011,473,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,70,BAR,,
1012,618,,,V,,,,,1,,,,,,,,0,,,,,,,,,,0,0,,,
1013,20,COMERCIAL,4,V,,,,,,,,1,,,,,0,,,,,,,,,,1,34,BBVA BANCOMER,,
1014,475,COMERCIAL,4,V,,,,,,,,,1,,,,1,2,,,,,,,,,1,66,EXPENDIO,,
1015,347,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,67,BAR,,
1016,349,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,68,BARBERIA,,
1017,351,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,69,LC,,
1018,282,COMERCIAL,4,V,,,,,,,,,1,,,,1,2,,,,,,,,,1,78,LABORATORIO,,
1019,313-A,,,V,,,,,1,,,,,,,,0,,,,,,,,,,0,0,,,
1020,481,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,77,FERRETERIA,,
1021,483,COMERCIAL,4,V,,,,,,,,,1,,,,1,4,,,,,,,,,1,76,ELECTRA,,
1022,485,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,0,0,,,
1023,485,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,0,0,,,
1024,324 A,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,84,BAR,,
1025,326,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,81,LC,,
1026,S/N,,,V,,,,1,,,,,,,,,1,,,,,1,,,,,0,0,,,
1027,491,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,0,0,,,
1028,493,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,86,PAQUETERIA,,
1029,345,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,33,ZAPATERIA,,
1030,278,,,V,,,,,1,,,,,,,,0,,,,,,,,,,0,0,,,
1031,280,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,43,BARBERIA,,
1032,606,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,57,BILLAR,,
1033,604,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,56,HOTEL,,
1034,1655,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,0,0,,,
1035,600,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,55,HOTEL,,
1036,558,COMERCIAL,4,V,,,,,,,,,1,,,,1,8,,,,,,,,,1,62,PLAZA 15 - LC,,
1037,556,,,V,,,,1,,,,,,,,,1,1,,,,,,,,,0,0,,,
1038,545,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,87,DENTISTA,,
1039,547,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,0,0,,,
1040,549,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,0,0,,,
1041,554,,,V,,,,1,,,,,,,,,1,1,,,,,,,,,0,0,,,
1042,469,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,30,HOTEL,,
1043,471,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,29,OXXO,,
1044,520,COMERCIAL,4,V,,,,,,,,1,,,,,1,3,,,,,,,,,1,16,SANTANDER,,
1045,516,COMERCIAL,4,V,,,,,,,,,1,,,,1,2,,,,,,,,,1,17,CINTURONES,,
1046,473,COMERCIAL,4,V,,,,,,,,,1,,,,1,2,,,,,,,,,1,37,FARMACIA,,
1047,481,,,V,,,,1,,,,,,,,,3,1,,,,1,,2,,,0,0,,,
1048,483,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,48,CONTRU,,
1049,320,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,59,4 - LC,,
1050,485,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,49,TABLE DANCE,,
1051,487,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,50,HOTELES,,
1052,512,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,23,COMIDA,,
1053,508,COMERCIAL,4,V,,,,,,,,1,,,,,1,3,,,,,,,,,1,24,HOSPITAL,,
1054,504,,,V,,,,,1,,,,,,,,1,,,,,1,,,,,0,0,,,
