ID,Num,USO,Num USO,NSE U/S,Updated Manual,A,B,C,D,E,C1,C2,C3,IL,IM,IP,QTY servicios,VOZ,Datos s/dom,Datos,Datos-fibra-telmex-inf,TV Cable,DISH,TVS,SKY,VETV,QTY Nom Neg,Line #,Nom Neg,,PRUEBA A/?-
1001,160,,,V,,,,,1,,,,,,,,1,2,3,4,5,6,7,8,9,9,1,23,A.A,,
1002,150,,,V,,1,2,3,1,4,5,6,7,8,9,10,2,1,,,,,,,,1,1,26,CONST.,,
1003,140,,,V,,,,,1,,,,,,,,2,1,,,,,,,1,,1,39,OXXO,,
1004,1330,,,V,,,,,1,2,10,,,,,,4,,,,2,,,2,,,1,1,CONST.,,
1005,130,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1006,1360,,,V,,,,,1,,,,,,,,0,,,,,,,,,,1,36,SIX,,
1007,1350,,,V,,,,,,1,,,,,,,0,,,,,,,,,,1,20,AUTOBUSES,,
1008,1340,,,V,,,,,,1,,,,,,,0,,,,,,,,,,1,19,LLANTERA,,
1009,330,,,V,,,,,,1,,,,,,,1,2,,,,,,,,,,,,,
1010,340,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,1,27,HOTEL,,
1011,350,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,1,28,CONST.,,
1012,360,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1013,370,,,V,,,,,,1,,,,,,,0,,,,,,,,,,,,,,
1014,420,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1015,1070,COMERCIAL,4,V,,,,,,,,,1,,,,2,3,,,,1,,,,,,,,,
1016,1060,,,V,,,,,1,,,,,,,,0,,,,,,,,,,,,,,
1017,1050,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,
1018,1040,,,V,,,,,1,,,,,,,,2,1,,,,1,,,,,,,,,
1019,1040,,,V,,,,,1,,,,,,,,2,1,,,,1,,,,,,,,,
1020,1030,,,V,,,,,1,,,,,,,,0,,,,,,,,,,1,24,CONST.,,
1021,1010,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1022,145,,,V,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,
1023,180,,,V,,,,,1,,,,,,,,1,,,,,1,,,,,1,25,A.A,,
1024,170,,,V,,,,,1,,,,,,,,2,1,,,,1,,,,,,,,,
1025,915,,,V,,,,,,1,,,,,,,3,2,,,,1,,,,1,,,,,
1026,1045,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,
1027,945,,,V,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,
1028,945,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,,,,,
1029,935,,,V,,,,,,1,,,,,,,0,,,,,,,,,,1,33,CASA RODANTE,,
1030,132,,,V,,,,,1,,,,,,,,0,,,,,,,,,,1,30,CASA RODANTE,,
1031,230,COMERCIAL,4,V,,,,,1,,,,1,,,,0,,,,,,,,,,1,7,BILLAR,,
1032,200,,,V,,,,,,1,,,,,,,0,,,,,,,,,,1,6,CONST.,,
1033,220,,,V,,,,,,1,,,,,,,0,,,,,,,,,,1,5,CONST.,,
1034,210,,,V,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,
1035,165,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1036,155,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,
1037,1055,,,V,,,,,,1,,,,,,,0,,,,,,,,,,1,37,CONST.,,
1038,770,,,V,,,,,1,,,,,,,,0,,,,,,,,,,,,,,
1039,760,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,35,HOTEL,,
1040,1035,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,1,31,CONST.,,
1041,750,,,V,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,
1042,1025,,,V,,,,,,1,,,,,,,1,1,,,,,,,,,1,32,CONST.,,
