ID,Num,USO,Num USO,NSE U/S,A,B,C,D,E,C1,C2,C3,IL,IM,IP,QTY servicios,VOZ,Datos s/dom,Datos,Datos-fibra-telmex-inf,TV Cable,DISH,TVS,SKY,VETV
2001,9,,,V,,,,,1,,,,,,,0,,,,,,,,,
2002,9,,,V,,,,,1,,,,,,,0,,,,,,,,,
2003,20,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2004,7,,,V,,,,,1,,,,,,,0,,,,,,,,,
2005,5,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2006,3,COMERCIAL,4,V,,,,1,,,,1,,,,0,,,,,,,,,
2007,1,,,V,,,,,1,,,,,,,0,,,,,,,,,
2008,10,,,V,,,,,1,,,,,,,0,,,,,,,,,
2009,8,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2010,7,,,V,,,,,1,,,,,,,0,,,,,,,,,
2011,6,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2012,5,,,V,,,,,1,,,,,,,0,,,,,,,,,
2013,3,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2014,1,,,V,,,,,1,,,,,,,0,,,,,,,,,
2015,34,,,V,,,,,1,,,,,,,0,,,,,,,,,
2016,2,,,V,,,,,1,,,,,,,0,,,,,,,,,
2017,6,,,V,,,,,1,,,,,,,0,,,,,,,,,
2018,1,,,V,,,,,1,,,,,,,0,,,,,,,,,
2019,5,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2020,3,,,V,,,,,1,,,,,,,0,,,,,,,,,
2021,308-A,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2022,3,,,V,,,,,1,,,,,,,0,,,,,,,,,
2023,5,,,V,,,,1,,,,,,,,0,,,,,,,,,
2024,308,,,V,,,,,2,,,,,,,0,,,,,,,,,
2025,299,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2026,1,,,V,,,,1,,,,,,,,0,,,,,,,,,
2027,306-A,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2028,306,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2029,303,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2030,297,,,V,,,,,1,,,,,,,0,,,,,,,,,
2031,292,COMERCIAL,4,V,,,,,,,,1,,,,1,,,,,1,,,,
2032,303,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2033,305-A,,,V,,,,,1,,,,,,,0,,,,,,,,,
2034,298,,,V,,,,,1,,,,,,,0,,,,,,,,,
2035,305,,,V,,,,1,,,,,,,,0,,,,,,,,,
2036,304,,,V,,,,1,,,,,,,,0,,,,,,,,,
2037,303-A,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2038,302,,,V,,,,,1,,,,,,,0,,,,,,,,,
2039,302-A,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2040,305,,,V,,,,1,,,,,,,,1,,,,,,,1,,
2041,305-A,,,V,,,,,1,,,,,,,0,,,,,,,,,
2042,4,,,V,,,,,1,,,,,,,0,,,,,,,,,
2043,7,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2044,5,,,V,,,,,1,,,,,,,0,,,,,,,,,
